geoid,name,B13016001,"B13016001, Error",B13016002,"B13016002, Error",B13016003,"B13016003, Error",B13016004,"B13016004, Error",B13016005,"B13016005, Error",B13016006,"B13016006, Error",B13016007,"B13016007, Error",B13016008,"B13016008, Error",B13016009,"B13016009, Error",B13016010,"B13016010, Error",B13016011,"B13016011, Error",B13016012,"B13016012, Error",B13016013,"B13016013, Error",B13016014,"B13016014, Error",B13016015,"B13016015, Error",B13016016,"B13016016, Error",B13016017,"B13016017, Error"
86000US33705,"33705",6650,656,273,137,0,25,38,41,97,99,64,63,74,49,0,25,0,25,6377,649,835,199,967,281,819,217,899,230,1006,245,829,186,1022,249
86000US33706,"33706",2127,219,47,50,0,21,0,21,0,21,18,37,21,31,0,21,8,12,2080,216,163,74,128,89,218,109,248,85,279,99,243,98,801,169
86000US33707,"33707",4044,428,229,100,0,25,21,26,111,66,18,22,40,36,30,47,9,14,3815,406,405,147,457,158,469,162,442,136,672,169,512,129,858,174
86000US33708,"33708",2033,244,50,48,0,21,0,21,0,21,32,45,10,15,0,21,8,13,1983,252,187,66,112,61,234,105,144,49,299,94,325,95,682,118
86000US33709,"33709",4425,414,139,73,22,20,56,52,7,11,39,30,15,17,0,25,0,25,4286,415,563,162,537,149,497,180,572,135,643,159,665,149,809,171
86000US33710,"33710",7123,497,352,166,0,29,108,92,0,29,62,43,71,86,111,101,0,29,6771,503,713,189,740,216,1306,264,1004,242,776,196,1000,216,1232,226
86000US33711,"33711",4882,555,115,98,0,21,0,21,99,93,16,20,0,21,0,21,0,21,4767,566,1051,280,990,270,197,119,812,255,668,214,370,130,679,279
86000US33712,"33712",6497,595,294,128,0,25,26,27,135,87,95,87,33,44,0,25,5,11,6203,583,683,228,1054,271,1025,272,699,210,983,185,705,189,1054,236
86000US33713,"33713",7797,643,369,100,0,29,37,26,86,58,86,57,29,24,35,34,96,61,7428,645,552,152,922,249,1658,317,918,213,1004,257,1188,222,1186,211
86000US33714,"33714",5412,715,243,100,0,25,25,38,74,57,87,72,24,29,33,52,0,25,5169,728,492,179,903,334,819,293,607,183,525,179,625,207,1198,272
86000US33715,"33715",630,136,8,14,0,19,0,19,0,19,8,14,0,19,0,19,0,19,622,132,69,38,66,51,42,40,150,77,54,30,89,43,152,63
86000US33716,"33716",5810,616,142,90,0,21,0,21,42,64,9,16,66,57,0,21,25,39,5668,611,110,73,931,264,1804,400,1350,369,603,224,599,211,271,133
86000US33744,"33744",12,27,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,12,27,0,14,0,14,0,14,0,14,0,14,12,27,0,14
86000US33755,"33755",6560,695,127,99,0,25,12,20,17,28,85,91,6,14,7,10,0,25,6433,722,721,215,532,230,1031,306,1074,263,1146,323,713,228,1216,276
86000US33756,"33756",7293,746,200,122,0,29,0,29,34,42,133,107,33,37,0,29,0,29,7093,756,901,268,989,303,1294,287,761,215,991,246,929,285,1228,251
86000US33759,"33759",3860,414,314,131,0,21,132,113,95,80,19,26,68,61,0,21,0,21,3546,413,400,163,337,126,632,194,453,105,374,104,586,196,764,205
86000US33760,"33760",4456,337,313,139,0,21,118,96,107,66,19,27,63,49,6,9,0,21,4143,345,568,158,477,152,661,179,574,170,484,156,585,160,794,176
86000US33761,"33761",3569,394,88,64,0,21,0,21,2,8,45,51,0,21,41,39,0,21,3481,403,366,141,388,160,475,225,344,130,703,232,436,119,769,176
86000US33762,"33762",1532,226,80,67,0,19,0,19,35,36,17,18,20,31,0,19,8,13,1452,218,114,47,124,76,205,99,269,127,221,77,149,65,370,114
86000US33763,"33763",3200,426,112,80,0,21,20,34,0,21,74,60,18,28,0,21,0,21,3088,441,442,218,313,176,595,243,491,173,414,155,405,152,428,172
86000US33764,"33764",4748,468,190,83,23,19,0,25,134,90,16,18,17,19,0,25,0,25,4558,454,443,178,642,239,729,206,920,257,491,154,529,165,804,161
86000US33765,"33765",3411,576,147,100,0,21,45,65,34,42,63,66,5,11,0,21,0,21,3264,570,531,219,265,146,619,224,482,165,312,122,333,117,722,272
86000US33767,"33767",793,129,7,12,0,19,7,12,0,19,0,19,0,19,0,19,0,19,786,129,116,57,95,51,52,43,64,38,46,40,149,58,264,67
86000US33770,"33770",5914,631,185,99,0,25,61,60,64,54,50,47,0,25,10,17,0,25,5729,625,598,194,823,239,730,184,742,206,604,196,936,280,1296,292
86000US33771,"33771",5456,512,331,149,34,40,79,73,93,69,31,34,94,87,0,29,0,29,5125,487,421,160,654,236,625,194,893,272,942,248,768,216,822,187
86000US33772,"33772",4448,349,182,132,0,25,15,23,18,20,36,31,19,27,38,59,56,88,4266,334,471,144,586,152,571,150,506,135,572,140,658,152,902,183
86000US33773,"33773",3479,367,179,96,0,21,28,38,50,55,54,52,28,23,19,22,0,21,3300,359,254,96,639,191,507,137,401,132,425,140,313,136,761,175
86000US33774,"33774",3280,427,348,187,0,21,61,70,245,153,21,24,21,32,0,21,0,21,2932,365,315,150,361,162,164,77,338,143,548,196,525,141,681,170
86000US33776,"33776",2568,238,87,87,0,21,5,8,74,86,0,21,0,21,0,21,8,13,2481,251,326,116,247,95,261,112,379,171,335,111,369,98,564,143
86000US33777,"33777",3392,419,122,56,0,21,21,31,20,33,67,40,7,16,7,11,0,21,3270,418,371,150,381,208,378,157,480,135,547,138,418,165,695,191
86000US33778,"33778",2711,410,263,180,0,21,0,21,15,24,149,163,55,56,0,21,44,45,2448,307,280,103,174,99,344,98,310,127,451,166,325,126,564,140
